Archive File,Total Size,DRAM,.bss,.data,IRAM,.text,.vectors,Flash Code,.text,Flash Data,.rodata,.appdesc,RTC FAST,.force_fast,RTC SLOW,.rtc_slow_reserved
liblvgl__lvgl.a,297699,66192,66076,116,0,0,0,213753,213753,17754,17754,0,0,0,0,0
libnet80211.a,145272,9499,8432,1067,5394,5394,0,117436,117436,12943,12943,0,0,0,0,0
liblwip.a,107201,3733,3721,12,0,0,0,99516,99516,3952,3952,0,0,0,0,0
libmbedcrypto.a,90271,141,81,60,0,0,0,82319,82319,7811,7811,0,0,0,0,0
libesp_app_format.a,87034,10,10,0,0,0,0,417,417,86607,86351,256,0,0,0,0
libmain.a,70415,3602,2162,1440,0,0,0,11527,11527,55286,55286,0,0,0,0,0
libpp.a,69198,4099,1476,2623,20836,20836,0,39311,39311,4952,4952,0,0,0,0,0
libc.a,64782,576,316,260,0,0,0,60110,60110,4096,4096,0,0,0,0,0
libwpa_supplicant.a,64304,1329,1321,8,0,0,0,61367,61367,1608,1608,0,0,0,0,0
libphy.a,45262,1219,635,584,8986,8986,0,35057,35057,0,0,0,0,0,0,0
libmbedtls.a,30500,266,240,26,0,0,0,28320,28320,1914,1914,0,0,0,0,0
libfreertos.a,23795,4161,1053,3108,17119,17119,0,1052,1052,1463,1463,0,0,0,0,0
libesp_hw_support.a,18691,396,104,292,6961,6961,0,10137,10137,1145,1145,0,28,28,24,24
libhal.a,16759,4124,8,4116,8108,8108,0,4371,4371,156,156,0,0,0,0,0
libnvs_flash.a,15208,28,28,0,0,0,0,14928,14928,252,252,0,0,0,0,0
libhttp_parser.a,14874,0,0,0,0,0,0,14122,14122,752,752,0,0,0,0,0
libesp_system.a,14056,825,313,512,4395,4395,0,8167,8167,669,669,0,0,0,0,0
libheap.a,12359,12,8,4,7467,7467,0,3242,3242,1638,1638,0,0,0,0,0
libspi_flash.a,11655,1348,24,1324,8890,8890,0,949,949,468,468,0,0,0,0,0
libesp_driver_spi.a,10714,157,33,124,3626,3626,0,6405,6405,526,526,0,0,0,0,0
libesp_http_server.a,10194,0,0,0,0,0,0,9855,9855,339,339,0,0,0,0,0
libesp_http_client.a,9089,0,0,0,0,0,0,8794,8794,295,295,0,0,0,0,0
libmbedx509.a,8641,0,0,0,0,0,0,8596,8596,45,45,0,0,0,0,0
libesp_driver_uart.a,7342,228,32,196,0,0,0,6513,6513,601,601,0,0,0,0,0
libesp_driver_gpio.a,7075,36,0,36,409,409,0,5942,5942,688,688,0,0,0,0,0
libesp-tls.a,7010,4,4,0,0,0,0,6896,6896,110,110,0,0,0,0,0
libvfs.a,6588,236,44,192,0,0,0,6194,6194,158,158,0,0,0,0,0
libesp_netif.a,6238,33,29,4,0,0,0,6042,6042,163,163,0,0,0,0,0
libesp_rom.a,5030,0,0,0,206,206,0,0,0,4824,4824,0,0,0,0,0
libesp_wifi.a,4484,527,47,480,355,355,0,3560,3560,42,42,0,0,0,0,0
libesp_mm.a,4195,160,124,36,1004,1004,0,2817,2817,214,214,0,0,0,0,0
libtcp_transport.a,3843,0,0,0,0,0,0,3713,3713,130,130,0,0,0,0,0
libesp_lcd.a,3600,0,0,0,0,0,0,3238,3238,362,362,0,0,0,0,0
libnewlib.a,3519,376,216,160,1533,1533,0,1499,1499,111,111,0,0,0,0,0
libesp_timer.a,3435,56,24,32,1624,1624,0,1620,1620,135,135,0,0,0,0,0
libxtensa.a,3410,1044,0,1044,2213,1789,424,117,117,36,36,0,0,0,0,0
libesp_event.a,3137,4,4,0,0,0,0,2992,2992,141,141,0,0,0,0,0
libjson.a,2733,20,8,12,0,0,0,2713,2713,0,0,0,0,0,0,0
libesp_phy.a,2400,53,36,17,235,235,0,1868,1868,244,244,0,0,0,0,0
libbootloader_support.a,2197,0,0,0,2044,2044,0,113,113,40,40,0,0,0,0,0
libespressif__esp_lcd_ili9341.a,2194,62,3,59,0,0,0,1631,1631,501,501,0,0,0,0,0
libesp_partition.a,1925,8,8,0,0,0,0,1749,1749,168,168,0,0,0,0,0
libesp_https_server.a,1881,0,0,0,0,0,0,1766,1766,115,115,0,0,0,0,0
libsoc.a,1836,40,0,40,37,37,0,39,39,1720,1720,0,0,0,0,0
libesp_common.a,1809,0,0,0,0,0,0,51,51,1758,1758,0,0,0,0,0
liblog.a,1654,280,272,8,272,272,0,1054,1054,48,48,0,0,0,0,0
