"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C5","3","22u","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"C3","1","4u7","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"C4,C6,C7,C8,C9,C10","6","0u1","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"D1","1","SP0503BAHT","","","","Package_TO_SOT_SMD:SOT-143","http://www.littelfuse.com/~/media/files/littelfuse/technical%20resources/documents/data%20sheets/sp05xxba.pdf"
"D2","1","D_Schottky_Small_Filled","","","","Diode_SMD:D_SOD-323F","~"
"D3","1","LED","","","","LED_SMD:LED_2512_6332Metric","~"
"J1","1","USB_C_Receptacle_USB2.0_16P","","","","Connector_USB:USB_C_Receptacle_GCT_USB4110","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"LCD1","1","LCD_2.8IN_TFT","","","","Custom:LCD_2.8_TFT",""
"Q1,Q2","2","SS8050","","","","Package_TO_SOT_SMD:SOT-23","http://www.secosgmbh.com/datasheet/products/SSMPTransistor/SOT-23/SS8050.pdf"
"R1","1","22k1","","","","Resistor_SMD:R_1206_3216Metric","~"
"R2","1","47k5","","","","Resistor_SMD:R_1206_3216Metric","~"
"R3,R4","2","5k1","","","","Resistor_SMD:R_1206_3216Metric","~"
"R5","1","1k","","","","Resistor_SMD:R_1206_3216Metric","~"
"R6,R7,R8,R9,R10,R11,R12","7","10k","","","","Resistor_SMD:R_1206_3216Metric","~"
"R13","1","2k","","","","Resistor_SMD:R_1206_3216Metric","~"
"SW1","1","RotaryEncoder_Switch","","","","Custom:Bourns-PEC11R-4220F-S0024-0-0-0","~"
"TP1,TP2,TP3,TP4","4","TestPoint_Probe","","","","TestPoint:TestPoint_Pad_D1.0mm","~"
"U1","1","ESP32-WROOM-32U","","","","RF_Module:ESP32-WROOM-32U","https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32d_esp32-wroom-32u_datasheet_en.pdf"
"U2","1","AMS1117-3.3","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf"
"U3","1","CP2102N-Axx-xQFN28","","","","Package_DFN_QFN:QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm","https://www.silabs.com/documents/public/data-sheets/cp2102n-datasheet.pdf"
